station_id,temperature,pH,DO,BOD,chlorides,alkalinity
S01,29,6.58,6.6,0.2,72.50,40
S02,30,7.1,6.6,0.2,77.50,40
S03,30,6.9,6.9,0.7,112.50,25
S04,30,6.9,7.6,0,152.50,25
S05,29,6.72,7.9,1.4,122.50,25
S06,30,6.67,6.8,1,117.50,20
S07,30,6.4,7.2,0.5,117.50,25
S08,30,6.96,7.3,0.2,112.50,25
S09,29,7.1,7.9,1.2,122.50,20
S10,29,6.97,6.8,0.3,112.50,25
S11,29,6.72,7.2,0.2,127.50,25
S12,29,6.63,7.4,0.3,122.50,25
S13,29,6.81,7.6,0,742.48,35
S14,29,7.26,7,1.4,122.50,30
S15,30,6.51,6.9,0.3,122.50,30
S16,30,6.84,7.1,0.1,112.50,25
S17,29,6.56,7.3,0.9,122.50,25
S18,29,6.1,5.8,2.1,112.50,30
S19,29,6.76,6.8,0.7,142.50,30
S20,29,6.8,7.8,0.1,449.99,45
S21,29,6.89,7.1,0.8,1099.97,115
S22,29,6.54,7,0.7,14099.61,130
S23,29,6.67,7.2,1.3,16299.54,125
S24,30,6.71,6.5,1.6,18899.47,125
