station_id,Qi_pH,Qi_DO,Qi_BOD,Qi_chlorides,Qi_alkalinity,WQI,status,grade
S01,32.0,85.4167,10.0,24.8,27.0,36.9944,Good,B
S02,19.3333,83.3333,13.3333,34.8,26.0,35.8417,Good,B
S03,6.6667,81.25,36.6667,105.6,20.0,45.1209,Good,B
S04,0.0,76.0417,46.6667,110.4,32.0,47.5249,Good,B
S05,12.6667,72.9167,40.0,108.0,40.0,45.5148,Good,B
S06,38.6667,84.375,36.6667,110.4,57.0,52.0816,Poor,C
S07,46.6667,78.125,16.6667,114.8,20.0,41.2587,Good,B
S08,6.6667,73.9583,6.6667,119.6,12.5,27.7873,Good,B
S09,24.6667,75.0,23.3333,116.4,10.0,39.6911,Good,B
S10,12.0,82.2917,20.0,119.6,57.0,38.3347,Good,B
S11,22.0,77.0833,6.6667,35.2,30.0,31.0887,Good,B
S12,24.6667,75.0,10.0,110.4,27.0,33.0493,Good,B
S13,12.6667,72.9167,30.0,152.4,7.0,40.4832,Good,B
S14,6.6667,80.2083,46.6667,96.4,29.0,49.8684,Good,B
S15,32.6667,80.2083,13.3333,84.0,5.0,37.4106,Good,B
S16,16.0,78.125,13.3333,171.2,16.0,34.4201,Good,B
S17,22.0,77.0833,26.6667,7.2,20.0,40.9445,Good,B
S18,53.3333,90.625,66.6667,105.6,10.0,71.3569,Poor,C
S19,10.6667,80.2083,30.0,66.0,15.0,41.8733,Good,B
S20,16.0,72.9167,10.0,368.0,40.0,32.5328,Good,B
S21,25.3333,77.0833,23.3333,520.0,50.0,43.1904,Good,B
S22,32.6667,79.1667,23.3333,4440.0,20.0,68.66,Poor,C
S23,30.6667,80.2083,46.6667,5720.0,27.0,88.2148,Very Poor,D
S24,43.3333,85.4167,53.3333,5559.6,43.0,94.5673,Very Poor,D
