station_id,Qi_pH,Qi_DO,Qi_BOD,Qi_chlorides,Qi_alkalinity,WQI,status,grade
S01,28.0,83.3333,6.6667,29.0,20.0,33.9389,Good,B
S02,6.6667,83.3333,6.6667,31.0,20.0,30.1482,Good,B
S03,6.6667,80.2083,23.3333,45.0,12.5,37.647,Good,B
S04,6.6667,72.9167,0.0,61.0,12.5,23.7494,Excellent,A
S05,18.6667,69.7917,46.6667,49.0,12.5,48.4385,Good,B
S06,22.0,81.25,33.3333,47.0,10.0,45.7398,Good,B
S07,40.0,77.0833,16.6667,47.0,12.5,39.2869,Good,B
S08,2.6667,76.0417,6.6667,45.0,12.5,27.2535,Good,B
S09,6.6667,69.7917,40.0,49.0,10.0,42.9134,Good,B
S10,2.0,81.25,10.0,45.0,12.5,30.3966,Good,B
S11,18.6667,77.0833,6.6667,51.0,12.5,30.4577,Good,B
S12,24.6667,75.0,10.0,49.0,12.5,32.5673,Good,B
S13,12.6667,72.9167,0.0,296.992,17.5,26.2871,Good,B
S14,17.3333,79.1667,46.6667,49.0,15.0,51.0608,Poor,C
S15,32.6667,80.2083,10.0,49.0,15.0,35.5907,Good,B
S16,10.6667,78.125,3.3333,45.0,12.5,27.6274,Good,B
S17,29.3333,76.0417,30.0,49.0,12.5,43.8162,Good,B
S18,60.0,91.6667,70.0,45.0,15.0,74.2151,Poor,C
S19,16.0,81.25,23.3333,57.0,15.0,39.718,Good,B
S20,13.3333,70.8333,3.3333,179.996,22.5,26.787,Good,B
S21,7.3333,78.125,26.6667,439.988,57.5,41.5529,Good,B
S22,30.6667,79.1667,23.3333,5639.844,65.0,75.9164,Very Poor,D
S23,22.0,77.0833,43.3333,6519.816,62.5,89.1558,Very Poor,D
S24,19.3333,84.375,53.3333,7559.788,62.5,102.2439,Unfit,E
